manufacturer,modelnumber,nema,length,stepangle,ratedcurrent_amp,ratedtorque_ncm,inductance_mh,resistance_ohm,rotorinertia_gcm2
FYSETC,35HSH7402-24B-400A,17,48,1.8,2,59,3,1.4,82
FYSETC,42HSC1404B-200N8,14,51,1.8,1.5,42,5.5,2.8,48
FYSETC,G36HSY4407-6D-550,14,34.5,1.8,0.4,32,38,29,40
FYSETC,MSM-30010-R0005,14,20.5,1.8,0.5,12,10,13,15
FYSETC,TB-3544,17,20,1.8,1,14,3.6,4.1,0
Hanpose,23HS4128,17,39,1.8,1.5,50,3.8,1.8,55
LDO,35STH48-1504AH(VRN),23,41,1.8,2.8,55,1.4,0.7,120
LDO,35STH48-1684AHVRN,14,52,1.8,1.5,37,3.8,2.8,51.8
LDO,36STH20-1004AHG(XH),14,48,1.8,1.68,40,2.8,1.65,49
LDO,42STH20-1004ASH,14,20,1.8,1,10,1.6,2.1,16
LDO,42STH38-1684MAC,17,20,1.8,1,18,7,7.2,21.4
LDO,42STH40-1004MAH(VRN),17,40,0.9,1.68,32,3.2,1.65,54
LDO,42STH40-1684AC,17,40,0.9,1,39,11.5,4.1,62
LDO,42STH40-2004MAH(VRN),17,40,1.8,1.68,36,3.6,1.65,54
LDO,42STH47-1684AC,17,40,0.9,2,35,2.8,1.1,71
LDO,42STH47-2504AC,17,48,1.8,1.68,49,2.8,1.65,68
LDO,42STH48-1684MAH,17,48,1.8,2.5,53.9,1.8,1.25,68
LDO,42STH48-2004AC(VRN),17,48,0.9,1.68,39,2.8,1.65,68
LDO,42STH48-2004AH,17,48,1.8,2,59,3,1.6,85
LDO,42STH48-2004MAH(VRN),17,48,1.8,2,59,3,1.4,68
LDO,42STH48-2504AC,17,48,0.9,2,40,2,1.45,68
LDO,42STH48-2504AH,17,48,1.8,2.5,55,1.5,1.2,84.5
LDO,42STH60-2004AH,17,48,1.8,2.5,55,1.5,1.2,84.5
LDO,42STH60-2004MAC (Railcore),17,60,1.8,2,83,3.3,2,102
LDO,42STH60-2004MAH,17,60,0.9,2,59,3,1.4,120
LDO,57STH41-2804MAC(HEV),17,60,0.9,2,58.8,3,1.4,120
LDO,57STH56-2804MAC(RC),23,41,0.9,2.8,60,1.4,0.7,120
Moons,MS14HA1P4150,23,56,0.9,2.8,120,3.4,1.1,305
Moons,MS14HA3P4150,14,27,0.9,1.5,11,1.8,1.55,12
Moons,MS17HA2P4150,14,36,0.9,1.5,18,2.2,1.61,20
Moons,MS17HA2P4200,17,39.8,0.9,1.5,40,5.4,1.98,57
Moons,MS17HDBP4100,17,40,0.9,2,39,2.8,1.05,57
Motech,MT-1704HSM168RE,17,63,1.8,1,82,14.6,5.6,123
Nanotec,ST4209L1704-A,17,48,0.9,1.68,43.12,2.8,1.65,68
OMC,14HS10-0404S,17,48,0.9,1.68,44,5,1.8,68
OMC,14HS13-0804S,14,26,1.8,0.4,14,30,30,12
OMC,14HS17-0504S,14,34,1.8,0.8,18,10,6.8,14
OMC,14HS20-1504S,14,42,1.8,0.5,23,26,15,18
OMC,17HM19-1684S,14,52,1.8,1.5,40,3.8,2.8,54
OMC,17HM19-2004S,17,48,0.9,1.68,44,4.1,1.65,68
OMC,17HS08-1004S,17,48,0.9,2,46,4,1.45,82
OMC,17HS13-0404S1,17,20,1.8,1,16,3.7,4.5,22
OMC,17HS16-2004S1,17,34,1.8,0.4,26,37,30,38
OMC,17HS19-2004S1,17,40,1.8,2,45,2.6,1.1,54
OMC,17HS24-2104S,17,48,1.8,2,59,3,1.4,82
,,17,60,1.8,2.1,65,3,1.6,148
